./localserver: line 1: !/bin/sh: No such file or directory
./localserver: line 1: !/bin/sh: No such file or directory
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:02:27] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:02:27] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:16:09] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:16:09] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:17:18] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:17:18] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:19:55] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:19:55] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:21:47] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:21:47] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:21:58] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:21:58] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:23:22] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:23:22] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:36:14] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:36:14] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:36:44] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:36:44] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:37:02] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:37:02] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:38:20] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:38:20] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:38:35] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:38:35] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:40:16] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:40:16] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:50:07] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:50:07] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:50:17] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:50:17] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:50:32] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:50:32] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:51:24] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:51:24] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:51:59] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:51:59] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:53:04] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:53:04] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:53:21] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [08/Nov/2012 21:53:21] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 06:54:52] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 06:54:52] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 06:55:14] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 06:55:14] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:03:20] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:03:20] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:03:42] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:03:42] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:04:34] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:04:34] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:04:49] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 07:04:49] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:30:20] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:37:55] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:37:55] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:38:04] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:38:04] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:38:20] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:38:20] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:39:06] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:39:06] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:39:20] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:39:20] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:40:19] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:40:19] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:42:53] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:42:53] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:42:58] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:42:58] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:01] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:01] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:51] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:51] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:53] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:53] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:57] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:43:57] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:09] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:09] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:39] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:39] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:43] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:43] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:47] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:47] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:50] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:44:50] "GET /rogue/input.js HTTP/1.1" 200 -
1.0.0.127.in-addr.arpa - - [09/Nov/2012 09:45:24] "GET /rogue/levelCreation.js HTTP/1.1" 200 -
